Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;Вес;Цвет;Производитель;Ширина;Материал;Покрытие;"Угол открывания";Высота;"Единица измерения";Длина;"Нагрузка, N";"Размер чаши";"Установочный проем";"Общий размер";"Вес без упаковки";"Вес в упаковке";"Размеры упаковки";"Размер мойки";"Диаметр, мм";"Толщина стали,мм.";Размеры;Глубина;Диаметр;Толщина
"Комплектующие для мебели/Комплектующие для шкафов-купе/Комплектующие на шкаф ТОП-ЛАИН";"Профиль ходовой L3194";0.00;profil-hodovoj-l3194;1;;;;;00000001448;0;"Профиль ходовой L3194";"Профиль ходовой L3194";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Петли/Петли полунакладные/Петли полунакладные";"Петля полунакл. (Н308-48) Arket";0.00;petlya-polunakl-n308-48-arket;1;;;;;00000001801;29;"Петля полунакл. (Н308-48) Arket";"Петля полунакл. (Н308-48) Arket";;;;;;;;;;;;;;;;;;;;;;;;;;;;
УДАЛЕНО!!!!!!!;"Петля накл. LS с отв.планкой(201А) ";0.00;petlya-nakl-ls-s-otvplankoj201a-;1;;;;;00000000796;1250;"Петля накл. LS с отв.планкой(201А) ";"Петля накл. LS с отв.планкой(201А) ";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Крючки/Крючок 2-рожковый/Крючок 2-рожк.";"Крючок 2-рожк. золото";0.00;kryuchok-2-rozhk-zoloto;1;;;;;00000001384;2747;"Крючок 2-рожк. золото";"Крючок 2-рожк. золото";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Кромочные материалы/Кромка ПВХ/Кромка ПВХ 2*19";"Кромка ПВХ 2*19 Дуб беленый";0.00;kromka-pvh-219-dub-belenyj;1;;;;;00000001278;0;"Кромка ПВХ 2*19 Дуб беленый";"Кромка ПВХ 2*19 Дуб беленый";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Кромочные материалы/Кромка ПВХ/Кромка ПВХ 2*42";"Кромка ПВХ 2*42 Вишня Оксфорд";0.00;kromka-pvh-242-vishnya-oksford;1;;;;;00000002914;500;"Кромка ПВХ 2*42 Вишня Оксфорд";"Кромка ПВХ 2*42 Вишня Оксфорд";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Петли/Петли накладные";"Петля накл. Firmax + планка монтаж.";0.00;petlya-nakl-firmax--planka-montazh;1;;;;;УТ000001618;1200;"Петля накл. Firmax + планка монтаж.";"Петля накл. Firmax + планка монтаж.";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Мойки и комплектующие/Смесители - GF/Смесители - GF 1024";"Смеситель GF 1024 салатовый";0.00;smesitel-gf-1024-salatovyj;1;;;;;УТ000001074;0;"Смеситель GF 1024 салатовый";"Смеситель GF 1024 салатовый";;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Профиль KF-08 (1-18) Вертик. асим.(ручка) Шампань 2,75";0.00;profil-kf-08-1-18-vertik-asimruchka-shampan-275;1;;;;;;32;"Профиль KF-08 (1-18) Вертик. асим.(ручка) Шампань 2,75";"Профиль KF-08 (1-18) Вертик. асим.(ручка) Шампань 2,75";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Мойки и комплектующие/Мойки Gran Fest/Мойки Gran Fest R580L";"Мойка GF-R 580L  580*450 салатовый (59603)";0.00;mojka-gf-r-580l-580450-salatovyj-59603;1;;;;;УТ000001073;0;"Мойка GF-R 580L  580*450 салатовый (59603)";"Мойка GF-R 580L  580*450 салатовый (59603)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Мойки и комплектующие/Мойки Gran Fest/Мойка Gran Fest C1040E 1040*570";"Мойка GF-C1040E 1040*570 песочная (59075)";0.00;mojka-gf-c1040e-1040570-pesochnaya-59075;1;;;;;000000023216;1;"Мойка GF-C1040E 1040*570 песочная (59075)";"Мойка GF-C1040E 1040*570 песочная (59075)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Механизмы для раздвижных столов/Механизмы для раздвижных столов";"Механизмы для раздвижных столов ДМ 35/520 SB";0.00;mehanizmy-dlya-razdvizhnyh-stolov-dm-35520-sb;1;;;;;УТ000001150;500;"Механизмы для раздвижных столов ДМ 35/520 SB";"Механизмы для раздвижных столов ДМ 35/520 SB";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Комплектующие для мебели/Опоры/Клипца";"Клипца к опоре h-100";0.00;kliptsa-k-opore-h-100;1;;;;;УТ000001075;4038;"Клипца к опоре h-100";"Клипца к опоре h-100";;;;;;;;;;;;;;;;;;;;;;;;;;;;
